Data;DventoSI;DventoSG;Precipitacao;velocidadedovento;Njus;Nsv;Nsi;Nmon
03/07/2021;59,49;123,27;0;1,366667;0,7742;1,41;1,1184;0,8867
04/07/2021;49,85;107,78;0;0,766667;0,9572;1,44;1,0842;1,1467
05/07/2021;120,64;136,64;0;1,366667;1,2181;1,44;1,0881;1,3943
06/07/2021;144;133,22;0;4,066667;0,79;1,48;1,0425;0,9303
07/07/2021;145,4;188,9;0;1,533333;0,5546;1,52;1,0183;0,7606
08/07/2021;250,66;236;0;1,4;1,0919;1,45;1,0773;1,2057
09/07/2021;309,2;293,26;0;2,366667;1,0952;1,55;0,9697;1,2063
10/07/2021;253,92;181,49;0;2;1,0609;1,46;1,0283;1,199
11/07/2021;176,35;154,86;0;2,033333;1,107;1,42;1,0675;1,2386
12/07/2021;87,7;85,37;0;2,433333;1,0166;1,5;0,9891;1,1476
13/07/2021;57,72;29,05;0;0,266667;1,0638;1,42;1,0425;1,1781
14/07/2021;50,25;23,52;3;1,933333;1,0649;1,38;1,1118;1,1744
15/07/2021;52,41;24,11;16,5;2,033333;1,0313;1,43;1,166;1,135
16/07/2021;239,86;215,05;0,3;2,566667;1,0196;1,5;1,1359;1,1273
17/07/2021;243,61;219,22;0;3,233333;0,9283;1,53;1,1614;1,0483
18/07/2021;139,32;124,07;0;7,833333;0,9905;1,29;1,4635;1,0964
19/07/2021;198,09;213,58;0,3;4,266667;0,9493;0,99;1,7357;1,0824
20/07/2021;141,93;174,26;0;1,8;0,9651;1,56;1,2004;1,068
21/07/2021;44,05;75,38;0;1,8;0,9873;1,56;1,1428;1,0905
22/07/2021;96,29;65,19;0;2,1;0,9989;1,61;1,1475;1,1018
23/07/2021;95,02;99;0;1,7;0,9807;1,62;1,1418;1,0769
24/07/2021;56,03;27,99;0;1,533333;1,0075;1,59;1,1794;1,1204
25/07/2021;67,66;115,74;0;2,166667;1,0131;1,63;1,1485;1,1972
26/07/2021;52,81;34,07;0,5;2,8;1,0054;1,49;1,2987;1,1925
27/07/2021;122,11;181,98;45,8;4,2;0,6635;1,35;1,5372;0,8124
28/07/2021;180,97;170,97;0;5,2;0,5636;1,29;1,5689;0,7151
29/07/2021;115,15;138,27;1,7;4,466667;0,7759;1,32;1,5339;0,9038
30/07/2021;101,57;137,79;0;0,4;0,7205;1,59;1,2304;0,8328
31/07/2021;24,44;205,4;0;1,666667;1,051;1,61;1,1708;1,2121
