Data;Evaporacao;Insolocao totalh;Precipitação Taotalmm;Temperatura MaximaC;Temperatura MediaC;Temperatura minimaC;Umidade do relativa do ar;Velocidade media vento;NivelJusEclusa;NivelStaIzabel;NivelStaVitoria;NivelMonEclusa
19/4/1979;2,7;7,7;null;25,2;17,22;12,3;88,75;0,166667;0,44;0,78;0,54;0,79
20/4/1979;2,3;0;0;24,5;17,02;11,2;84,5;0,133333;0,48;0,77;0,51;0,8
21/4/1979;3;7,5;null;21,5;16,3;13,2;84,25;0,633333;0,52;1,00;0,35;0,99
22/4/1979;8,3;null;3,6;23,5;17,98;14;82,75;0,533333;0,48;0,86;0,39;0,9
23/4/1979;4,1;2,1;null;22,5;17,54;14,8;72,5;0,466667;0,45;0,80;0,45;0,83
24/4/1979;4,6;6,2;null;22,2;16,12;12,2;79,25;0,366667;0,57;0,78;0,53;0,78
25/4/1979;2,1;3,7;null;21,5;15,6;10,5;86,25;0,433333;0,44;0,76;0,53;0,76
26/4/1979;2,3;4,5;null;21,6;15,04;11,2;87,5;0,3;0,48;0,80;0,52;0,79
27/4/1979;null;null;null;null;null;null;null;null;0,40;0,78;0,52;0,79
28/4/1979;2,6;6,5;null;22,5;15,94;8,8;89,5;0,433333;0,41;0,72;0,55;0,72
29/4/1979;null;null;null;null;null;null;null;null;0,44;0,58;0,70;0,54
30/4/1979;3,6;null;null;18,5;14,98;13;80,5;1,366667;0,06;0,80;0,58;0,8
1/5/1979;3,4;0,9;null;17,5;15,02;12,8;77;1,833333;0,03;1,52;0,12;1,08
2/5/1979;2;9,4;null;18,7;12,06;8,8;76,25;0,5;0,45;0,94;0,29;0,99
3/5/1979;2,5;5,3;null;21,5;15,26;9;85,25;0,333333;0,47;0,65;0,70;0,62
4/5/1979;3,7;8,7;null;18,4;13,52;11,8;72,75;0,933333;0,24;1,07;0,37;1,13
5/5/1979;3,2;7,9;null;20;13;6,4;61,5;0,466667;0,42;0,80;0,55;0,8
6/5/1979;3,2;7,9;null;22,5;13,98;6,4;78,5;0,266667;0,56;0,75;0,58;0,71
7/5/1979;2,8;10,1;null;22,5;16,7;10,2;81;0,366667;0,54;0,76;0,53;0,8
8/5/1979;4,9;4,2;null;19,5;16,26;9,6;65,5;0,733333;0,70;0,83;0,44;0,84
9/5/1979;2,2;3,4;null;20,2;16,02;14,3;87,5;0,533333;0,66;0,78;0,48;0,75
10/5/1979;1,8;4,8;null;21,4;14;9;90;0,3;0,50;0,77;0,53;0,76
11/5/1979;0,9;4;null;21,2;13,52;3,8;91,75;0,366667;0,50;0,79;0,56;0,79
12/5/1979;1,7;2,7;null;22,3;15,42;10,2;91,75;0,466667;0,49;0,83;0,49;0,85
13/5/1979;1,4;5;null;20,2;14;11,4;89;0,366667;0,40;0,86;0,50;0,9
14/5/1979;2,6;8,2;null;21,8;15,62;13,4;88,5;0,333333;0,40;0,77;0,56;0,75
15/5/1979;1,3;5,1;null;20,6;15,2;12,2;100;0,366667;0,36;0,73;0,56;0,73
16/5/1979;null;null;null;null;null;null;null;null;0,38;0,69;0,63;0,65
17/5/1979;0,1;0,8;null;22,7;18,12;14,5;97;0,5;0,40;0,68;0,62;0,66
18/5/1979;0,4;0;null;18,2;14,72;13,2;95,25;0,366667;0,27;0,90;0,53;0,9
19/5/1979;4,4;9,1;null;22,2;13,1;6,5;68;0,333333;0,41;0,80;0,58;0,8
20/5/1979;null;null;null;null;null;null;null;null;0,49;0,80;0,60;0,79
21/5/1979;3,1;3,5;null;25,6;17,7;11,5;75,75;0,633333;0,53;0,72;0,59;0,7
22/5/1979;3,4;4;null;18,5;12,34;9,6;76,5;1;0,61;1,16;0,26;1,13
23/5/1979;3,3;7,6;null;14,5;9,06;6,8;78;0,6;0,54;1,05;0,37;1,09
24/5/1979;2,5;8,8;null;18;10,7;3,2;70,5;0,433333;0,46;0,75;0,61;0,76
25/5/1979;3;9,1;null;21,2;13,32;6,8;70,75;0,4;0,54;0,74;0,60;0,72
26/5/1979;4,7;5,4;null;17,3;12,02;9,2;65,25;0,8;0,41;0,94;0,56;0,95
27/5/1979;4,5;9,1;null;15,8;10,04;5,2;57,25;1,166667;0,34;1,04;0,46;1,07
28/5/1979;2,1;0;null;15,8;12,52;8;80,25;0,666667;0,65;0,68;0,69;0,65
29/5/1979;2,3;9,1;null;13,5;9,86;8,4;81,25;1;0,33;1,00;0,43;0,97
30/5/1979;3;2,8;null;10,5;null;4,5;null;null;0,41;1,10;0,31;1,09
31/5/1979;4,2;9;null;13,5;8,38;3,2;51,75;0,833333;0,56;0,93;0,41;0,98
1/6/1979;3,3;9,5;null;20;11,72;5,4;50,75;0,266667;0,66;0,78;0,56;0,79
2/6/1979;4;9,3;null;22,5;10,14;2,6;80;0,466667;0,69;0,70;0,59;0,7
3/6/1979;3,7;9,1;null;24,2;13,08;3,8;68;0,366667;0,61;0,73;0,57;0,75
4/6/1979;1,4;0;null;15,5;12,58;11,2;88,5;0,366667;0,56;0,81;0,56;0,79
5/6/1979;3,2;9,4;0;13,3;6,66;3,6;70,5;0,433333;0,61;0,90;0,43;0,94
6/6/1979;2,2;9,4;null;14;5,84;-0,2;72,75;0,233333;0,75;0,82;0,48;0,83
7/6/1979;1;4,6;null;14,8;6,9;1,7;83,75;0,166667;0,56;0,80;0,54;0,8
8/6/1979;3,5;8,9;null;18,4;9,32;0,8;62,25;0,466667;0,48;0,78;0,56;0,81
9/6/1979;2,7;8,8;null;14;7,64;5,2;72;0,533333;0,63;0,84;0,52;0,87
10/6/1979;2,8;9,3;null;19,3;8,98;2;69;0,233333;0,66;0,76;0,55;0,74
11/6/1979;1;0,1;null;14,5;10,68;6,5;91,5;0,233333;0,63;0,70;0,57;0,68
12/6/1979;4;9,2;null;18;12,72;9,8;66,25;0,733333;0,54;0,82;0,56;0,82
13/6/1979;3,3;8,6;null;13;7,64;5;74;1;0,55;1,11;0,34;1,07
14/6/1979;2,7;8,1;null;12,5;6,54;3,2;80,25;0,566667;0,59;1,07;0,29;1,03
15/6/1979;1,5;6,8;null;12,6;6,74;3,8;88,25;0,433333;0,68;0,79;0,53;0,79
16/6/1979;0,9;4,8;null;14,5;6,7;1,6;89;0,233333;0,58;0,77;0,54;0,79
17/6/1979;null;null;null;null;null;null;null;null;0,52;0,75;0,59;0,73
18/6/1979;3,3;7;null;24;12,1;3,8;79,25;0,266667;0,63;0,72;0,62;0,72
19/6/1979;3,7;8,3;null;27,4;16,6;3,8;67;0,233333;0,57;0,69;0,65;0,69
20/6/1979;0,5;0,3;null;19;15,56;13,8;96;0,266667;0,62;0,81;0,56;0,84
21/6/1979;0,3;4,6;null;19,2;14,6;12;97,5;0,3;0,58;0,75;0,57;0,73
22/6/1979;3,4;8;null;27,2;16,58;10,6;84;0,466667;0,52;0,72;0,63;0,71
23/6/1979;3,2;4,3;null;23;16,24;10;80;0,5;0,53;0,68;0,68;0,64
24/6/1979;2,8;4,2;null;16,6;9,1;5,7;75;0,866667;0,38;0,97;0,54;0,91
25/6/1979;4,4;9,4;null;17,5;9,5;3,4;58;0,466667;0,46;0,77;0,58;0,78
26/6/1979;7,4;9,1;null;19,3;9,98;3,4;67,5;0,333333;0,46;0,76;0,54;0,76
27/6/1979;3,2;9;null;19,2;8,56;1;79;0,2;0,44;0,74;0,57;0,74
28/6/1979;1,1;0;null;15,6;11,04;4,2;95,25;0,466667;0,41;0,70;0,58;0,68
29/6/1979;0,7;3;null;17,2;13;11,6;94,25;0,433333;0,49;0,68;0,60;0,61
30/6/1979;0,6;0,2;null;14,7;12,74;10,8;96;0;0,43;0,80;0,51;0,77
1/7/1979;null;0;0;16,2;14,64;12;89,5;null;0,54;0,41;0,71;0,38
2/7/1979;3;2,1;10,2;19;15,72;13,6;94,25;5,366667;0,68;0,07;0,78;-0,16
3/7/1979;1,1;1,7;7,8;16,8;14,52;11,8;81;3,366667;0,26;0,77;0,60;0,75
4/7/1979;2,4;3,7;0;15;10,68;9;82;3,033333;0,48;0,84;0,55;0,87
5/7/1979;null;8,9;2,8;13,2;7,88;5,6;79;null;0,43;0,91;0,50;0,92
6/7/1979;null;0;0;11,5;7,98;1;90,75;null;0,51;0,75;0,47;0,74
7/7/1979;null;0;14,4;13,6;12,28;10,4;98,5;null;0,43;0,82;0,47;0,83
8/7/1979;null;6,3;2,2;15;9,56;7;82,75;null;0,26;1,01;0,39;1,06
9/7/1979;null;3,6;0;15,8;10,68;6,6;87,75;null;0,61;0,78;0,49;0,78
10/7/1979;null;4,9;0;15,2;9,8;4,4;85;null;0,40;0,67;0,57;0,66
11/7/1979;null;5,2;0;17,5;9,9;4,2;90;null;0,33;0,74;0,62;0,72
12/7/1979;null;7,4;0;20,2;11,92;7,8;89,5;null;0,40;0,72;0,62;0,69
13/7/1979;null;5,8;0;21,8;13,56;5,8;82,5;null;0,41;0,73;0,64;0,72
14/7/1979;null;0;0,8;15,4;13,64;12;97,25;null;0,55;0,82;0,55;0,81
15/7/1979;0,4;2,6;12,4;18,3;11,3;7,8;82,25;4,833333;0,38;0,94;0,50;0,84
16/7/1979;null;7,5;0;13,5;8,14;4,8;75,25;null;0,44;1,19;0,28;0,93
17/7/1979;null;9,4;0;14,7;7,62;2,8;72,25;null;0,47;0,85;0,56;0,85
18/7/1979;null;8,6;0;17,5;8,5;0,2;76,75;null;0,45;0,74;0,63;0,71
19/7/1979;null;0;0;13,5;10,58;7,6;97;null;0,58;0,94;0,47;0,94
20/7/1979;null;0;8;14,5;12,28;9,2;97,25;null;0,70;1,30;0,38;1,12
21/7/1979;null;6,3;17,8;16;10,68;7,8;79,5;null;0,38;0,97;0,33;0,77
22/7/1979;2,9;9,3;0;17,4;10,84;7,8;77,25;1,866667;0,59;0,87;0,52;0,92
23/7/1979;null;7,2;0;18;10,56;5,4;86,75;null;0,63;0,62;0,81;0,58
24/7/1979;null;6,3;0;25,5;16,22;9,8;81,25;null;0,62;0,79;0,62;0,81
25/7/1979;null;0,4;6,4;20,5;15,42;13,4;93,5;null;0,61;0,80;0,67;0,84
26/7/1979;null;3,3;1;18;13,44;11,4;91,75;null;0,57;0,72;0,70;0,72
27/7/1979;null;8,2;0;25,3;17,9;13,8;85,75;null;0,67;0,39;0,99;0,25
28/7/1979;null;8,4;0;31,8;21,2;13,6;82,75;null;0,49;0,80;0,64;0,8
29/7/1979;null;8,1;0;31,8;21,68;16,2;66,5;null;0,47;0,81;0,74;0,8
30/7/1979;null;9,7;0;30;19,8;14;75,75;null;0,45;0,80;0,73;0,79
31/7/1979;null;9,7;0;24,8;16,72;12,2;89;null;0,54;0,74;0,75;0,72
1/8/1979;null;8,6;0;31;20,4;14;69;null;0,45;0,78;0,78;0,74
2/8/1979;6;3,7;0;27,2;19,04;14,8;87;null;0,54;1,04;0,50;0,98
3/8/1979;null;0;9,2;null;14,56;13,2;99,25;null;0,62;0,94;0,52;1,01
4/8/1979;null;2,1;48,8;19,2;15,68;14,2;92,25;null;0,62;0,91;0,57;0,85
5/8/1979;null;6,3;0,5;16,8;13,44;11,5;86,75;null;0,45;0,97;0,70;1,03
6/8/1979;2,3;0;0;17;15,32;11,4;98,25;2,566667;0,61;0,88;1,01;0,94
7/8/1979;null;7,1;32,6;null;13,72;11,8;83,5;null;0,61;1,17;0,71;0,93
8/8/1979;null;3,9;0;18,1;12,78;5,8;92,75;null;0,66;0,94;0,97;0,86
9/8/1979;null;3,5;0,4;20;14,4;12;92,25;null;0,61;1,19;0,87;0,94
10/8/1979;1,6;0;2;16;14,8;11,5;92,75;2,766667;0,76;1,12;0,86;0,95
11/8/1979;null;0;9;null;11,96;10;89,25;null;0,90;1,52;0,69;1,03
12/8/1979;null;1,5;2,2;14,8;11,64;8,8;91;null;0,83;1,22;0,98;0,89
13/8/1979;null;1,6;3,8;16,6;14,2;11,2;91,5;null;0,94;1,14;1,00;0,94
14/8/1979;null;3,8;1,3;19,6;15,8;14,4;90,75;null;0,88;1,24;1,06;0,96
15/8/1979;null;0;0;null;12,46;11;91,5;null;0,83;1,22;1,07;0,89
16/8/1979;null;0;0;15,3;13,22;11,8;88,25;null;0,82;1,16;1,08;0,87
